currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
,,,,,,
currency,omgusd,omgusd,omgusd,omgusd,omgusd,omgusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,29534,20674,14360,9963,6879,4812
short_wins,14401,10214,7159,4951,3397,2358
short_total_percent,0.0549,0.3694,0.1805,-0.5568,-1.0375,-1.3587
short_average,0.0000,0.0000,0.0000,-0.0001,-0.0002,-0.0003
,,,,,,
currency,zecusd,zecusd,zecusd,zecusd,zecusd,zecusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,24466,16359,10808,7221,4925,3388
long_wins,12129,8367,5652,3855,2670,1835
long_total_percent,1.4013,1.7915,2.4650,2.7501,2.7531,1.7707
long_average,0.0001,0.0001,0.0002,0.0004,0.0006,0.0005
,,,,,,
currency,zecusd,zecusd,zecusd,zecusd,zecusd,zecusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,23940,15887,10506,7131,4922,3460
short_wins,11646,7881,5214,3533,2451,1705
short_total_percent,-0.4820,-0.1366,-0.5546,-0.9030,-1.1371,-1.4874
short_average,0.0000,0.0000,-0.0001,-0.0001,-0.0002,-0.0004
,,,,,,
currency,etcusd,etcusd,etcusd,etcusd,etcusd,etcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,24249,17317,12073,8387,5882,4185
long_wins,12673,9230,6510,4607,3284,2367
long_total_percent,12.3639,10.6049,8.4892,7.3887,6.1393,4.5554
long_average,0.0005,0.0006,0.0007,0.0009,0.0010,0.0011
,,,,,,
currency,etcusd,etcusd,etcusd,etcusd,etcusd,etcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,23961,16535,11476,8019,5719,4052
short_wins,12011,8389,5872,4083,2930,2034
short_total_percent,6.3613,4.3579,3.2402,1.9432,1.5484,0.6437
short_average,0.0003,0.0003,0.0003,0.0002,0.0003,0.0002
,,,,,,
currency,udcusd,udcusd,udcusd,udcusd,udcusd,udcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,10,8,7,5,5,5
long_wins,7,5,4,3,3,3
long_total_percent,0.0403,0.0293,0.0291,0.0144,0.0144,0.0144
long_average,0.0040,0.0037,0.0042,0.0029,0.0029,0.0029
,,,,,,
currency,udcusd,udcusd,udcusd,udcusd,udcusd,udcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,6,3,3,3,3,2
short_wins,4,2,2,1,1,1
short_total_percent,0.0696,0.0602,0.0602,0.0560,0.0560,0.0560
short_average,0.0116,0.0201,0.0201,0.0187,0.0187,0.0280
,,,,,,
currency,dshusd,dshusd,dshusd,dshusd,dshusd,dshusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,25000,16381,10777,7061,4630,3134
long_wins,12987,8742,5876,3951,2647,1785
long_total_percent,6.8704,6.5699,5.9021,5.4547,4.2916,2.7564
long_average,0.0003,0.0004,0.0005,0.0008,0.0009,0.0009
,,,,,,
currency,dshusd,dshusd,dshusd,dshusd,dshusd,dshusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,24042,15433,9876,6443,4256,2852
short_wins,11905,7683,4970,3231,2134,1428
short_total_percent,1.8835,0.8666,0.4044,0.0717,-0.3502,-0.2232
short_average,0.0001,0.0001,0.0000,0.0000,-0.0001,-0.0001
,,,,,,
currency,xlmusd,xlmusd,xlmusd,xlmusd,xlmusd,xlmusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,21713,14702,10122,7046,5007,3570
long_wins,10950,7553,5358,3812,2747,1993
long_total_percent,1.9952,2.6564,3.4485,3.2947,2.9156,2.4863
long_average,0.0001,0.0002,0.0003,0.0005,0.0006,0.0007
,,,,,,
currency,xlmusd,xlmusd,xlmusd,xlmusd,xlmusd,xlmusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,21884,14735,9882,6749,4721,3276
short_wins,10623,7220,4854,3347,2317,1581
short_total_percent,-1.9177,-1.1986,-1.1773,-1.0247,-1.2729,-1.7607
short_average,-0.0001,-0.0001,-0.0001,-0.0002,-0.0003,-0.0005
,,,,,,
currency,neousd,neousd,neousd,neousd,neousd,neousd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,23242,15479,10256,6869,4639,3218
long_wins,11720,8029,5410,3737,2506,1758
long_total_percent,1.3814,3.1372,3.1559,3.2042,2.0700,1.7227
long_average,0.0001,0.0002,0.0003,0.0005,0.0004,0.0005
,,,,,,
currency,neousd,neousd,neousd,neousd,neousd,neousd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,22981,14878,9617,6223,4182,2915
short_wins,11022,7287,4703,2995,1993,1417
short_total_percent,-2.7673,-1.3554,-1.2821,-1.9681,-2.1563,-1.3267
short_average,-0.0001,-0.0001,-0.0001,-0.0003,-0.0005,-0.0005
