TimeStamp,btcusd,ethusd,ustusd,xrpusd,ltcusd,solusd,eosusd,dotusd,adausd,iotusd,uniusd,xtzusd,trxusd,omgusd,zecusd,etcusd,udcusd,dshusd,xlmusd,neousd
1369785600000,-0.005958309583630635,-1,-1,-1,-0.032260862218221435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1369872000000,0.03791738180767204,-1,-1,-1,0.006210185018278965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1369958400000,-0.028401053052417337,-1,-1,-1,-0.06356148148974462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370044800000,0.00942662125770355,-1,-1,-1,-0.05715841383994852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370131200000,0.006779158700895389,-1,-1,-1,0.039644831347240166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370217600000,-0.03936050703519683,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370304000000,-0.004533686522028556,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370390400000,-0.023065002456078537,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370476800000,0.0062908907080075115,-1,-1,-1,-0.010657294473988093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370563200000,-0.015885891523913013,-1,-1,-1,0.0035650661644961446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370649600000,-0.07131303727745442,-1,-1,-1,0.05537746946895389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370736000000,-0.017620801054030157,-1,-1,-1,-0.13305050778717187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370822400000,-0.09570428292696474,-1,-1,-1,-0.11826392049373424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370908800000,0.0492846231190119,-1,-1,-1,-0.026317308317373417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1370995200000,0.03006750090632603,-1,-1,-1,0.08919048249518852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371081600000,-0.006353973909558103,-1,-1,-1,-0.04570537055544961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371168000000,-0.044860886029542454,-1,-1,-1,0.021053409197832263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371254400000,-0.02985296314968116,-1,-1,-1,-0.04255961441879601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371340800000,0.0042334505319365345,-1,-1,-1,-0.06280090123903023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371427200000,-0.0042334505319366784,-1,-1,-1,-0.004640379556502336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371513600000,0.014938369926277334,-1,-1,-1,0.186190033571875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371600000000,0.0354858600654974,-1,-1,-1,-0.08535560147365251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371686400000,0.008321027400485195,-1,-1,-1,-0.0076406552002750575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371772800000,-0.019136119297214073,-1,-1,-1,-0.07020425867324846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371859200000,-0.016741298530929948,-1,-1,-1,0.10354067894084017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1371945600000,-0.010520144661930969,-1,-1,-1,0.20994203945567386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372032000000,0.0016946622208539573,-1,-1,-1,-0.0036611789939122257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372118400000,-0.010513238259803069,-1,-1,-1,-0.3611148337901524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372204800000,-0.01797641461013471,-1,-1,-1,0.13872125126239643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372291200000,0.011311069796224581,-1,-1,-1,-0.017223698201597488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372377600000,-0.024411468611142857,-1,-1,-1,0.14929630136246036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372464000000,-0.07669111598680924,-1,-1,-1,-0.15354259224391126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372550400000,-0.004494389587839326,-1,-1,-1,-0.017167803622365446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372636800000,0.008410478508596511,-1,-1,-1,0.118340840612229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372723200000,-0.06983074334158262,-1,-1,-1,0.024240387532211468,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372809600000,0.0487274380345674,-1,-1,-1,-0.02047853134354079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372896000000,-0.12468120314458414,-1,-1,-1,-0.06326219677796627,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372982400000,0.025485748197968634,-1,-1,-1,0.08220050354533802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373068800000,-0.16980574886212413,-1,-1,-1,-0.14537940516686973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373155200000,-0.013221346438142611,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373241600000,0.11259382025134625,-1,-1,-1,0.08338160893905121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373328000000,0.004718579701994333,-1,-1,-1,-0.06183285143195949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373414400000,0.008437738401601967,-1,-1,-1,0.12010175955593537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373500800000,0.13852026118839633,-1,-1,-1,0.05505977718302739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373587200000,0.02159514198204412,-1,-1,-1,-0.03636764417087472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373673600000,0.024470858514731766,-1,-1,-1,-0.0168071183163814,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373760000000,0.015623598687146287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373846400000,-0.01684412588443316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1373932800000,0.04206913480319762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374019200000,-0.02544337336989962,-1,-1,-1,0.03231879125516731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374105600000,-0.0010925380743689326,-1,-1,-1,-0.0035398267051241737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374192000000,-0.07029767640062232,-1,-1,-1,-0.08084089848350752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374278400000,0.014668481864689374,-1,-1,-1,0.07336622406680182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374364800000,-0.017839918128331005,-1,-1,-1,0.0003572066478416481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374451200000,0.01053257249989337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374537600000,-0.003498545842513393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374624000000,0.015647957652595725,-1,-1,-1,-0.06776210210081883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374710400000,0.016764947597805106,-1,-1,-1,0.046855417281505156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374796800000,0.020374599351651517,-1,-1,-1,-0.043172171865208546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374883200000,-0.0032188273532066107,-1,-1,-1,-0.007380107297622534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1374969600000,-0.021689899013596796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375056000000,0.04921205717713401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375142400000,0.009793975935755265,-1,-1,-1,-0.07626198483363039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375228800000,0.03297291384910569,-1,-1,-1,-0.022901764286684455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375315200000,0.0172595202849662,-1,-1,-1,-0.003868476777920206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375401600000,-0.01653439465108004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375488000000,-0.0074836644871729965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375574400000,-0.003762939529542384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375660800000,0.00927718125007552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375747200000,0.010527499436302776,-1,-1,-1,-0.02432299514022002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1375833600000,0.004098366392282185,-1,-1,-1,0.003780722839905931,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
