Currency,StartTime,EndTime,Days,Open,Close,High,Low,TradeValue,DailyTradeValue,TradeValue1Y,DailyTradeValue1Y
axsusd,1632215100000,1640955240000,101,111.12,96.84,165.69,48.544,195004328.087143,1930735.92165488,195004328.087143,534258.433115461
doge-usd,1628623080000,1630243080000,18,0.25155,0.27986,0.352,0.25125,185333585.490719,10296310.30504,185333585.490719,507763.247919779
dogusd,1594369800000,1640951940000,539,3879,171710,737820,2525,180349485.714572,334600.159025179,173017333.798136,474020.092597633
mnausd,1515427200000,1640944980000,1452,0.25,3.3925,5.9087,0.014173,194601286.627811,134022.924674801,143385132.036961,392835.978183456
ftmusd,1624446240000,1640955240000,191,0.25788,2.2755,3.48,0.15333,141495289.465873,740813.033852739,141495289.465873,387658.327303762
mirusd,1626685620000,1640954820000,165,5,2.4992,10,2.0928,130396796.241996,790283.613587854,130396796.241996,357251.496553413
paxusd,1545251100000,1640792160000,1105,1.0343,1.0001,5.4902,0.80331,124090078.601293,112298.713666328,115616578.826238,316757.75020887
xdcusd,1605784260000,1640952180000,407,0.0089,0.09388,0.19499,0.0039785,117079392.563304,287664.355192392,115563331.234039,316611.866394629
sushi-usd,1628623080000,1630243080000,18,10.206,11.437,14.824,10.149,113525975.323923,6306998.62910683,113525975.323923,311030.069380611
xrdusd,1629722940000,1640954940000,130,0.14,0.26006,0.65405,0.081,112668517.082131,866680.900631774,112668517.082131,308680.868718166
uosusd,1563357840000,1640951100000,898,0.055,1.6391,2.49,0.020001,132552638.042717,147608.728332647,106699885.672993,292328.453898612
fttusd,1566209160000,1640933580000,864,1.4765,39.441,84.42,1.0871,133165275.74942,154126.476561829,105332278.666515,288581.585387711
batusd,1515447480000,1640944620000,1452,1,1.2613,2,0.00031,178138707.200273,122685.060055284,104059927.712998,285095.692364379
daiusd,1524068340000,1640945940000,1352,0.99989,1.0002,3.678,0.93145,187368821.472023,138586.406414218,94500040.6669266,258904.221005278
chzusd,1573816620000,1640949120000,776,0.015,0.29232,0.92,0.00052375,87105430.4432476,112249.266035113,87011897.5925383,238388.760527502
eutusd,1543331760000,1640949000000,1129,1.14075957,1.1344,37.3,0.655,85208794.801093,75472.8031896306,84681968.9179147,232005.394295657
requsd,1523117460000,1640941980000,1363,0.2,0.3847,1.0918,0.005067,80087802.822894,58758.4760256009,78447265.2952677,214924.014507583
enjusd,1542634320000,1640948520000,1137,0.03,2.7117,88,0.02211,75626415.0223991,66513.9973811778,73767795.0928641,202103.548199628
ksmusd,1599037320000,1640952960000,485,53.326,284.49,623,12,68138556.0141502,140491.868070413,67138984.3283253,183942.42281733
icpusd,1626084600000,1640955060000,172,96.77,25.884,96.77,20.938,64218265.6533362,373362.00961242,64218265.6533362,175940.453844757
btgusd,1509247380000,1640940480000,1524,99.84,41.401,478,4,2217651248.33071,1455151.73774981,63622664.9469805,174308.671087618
celusd,1616673600000,1640954760000,281,5.7,4.5668,7.9955,3.3651,63223167.413827,224993.478341021,63223167.413827,173214.157298156
mkrusd,1525965660000,1640946840000,1330,1182,2415.8,6317.3,42,81722055.5420094,61445.1545428642,63013312.6666107,172639.212785235
zilusd,1533792660000,1640945160000,1240,0.040988,0.079637,0.255,0.0029991,58131533.1586969,46880.2686763685,54406760.6585971,149059.618242732
xvgusd,1525173780000,1640946840000,1339,0.85,0.018113,0.85,0.0015297,71054199.9252524,53065.1231704648,53176528.43725,145689.119006164
clousd,1552389360000,1640949540000,1025,0.038,0.0063525,0.038,0.0004,52218990.1660945,50945.3562596044,51806070.3981545,141934.439446999
balusd,1601806140000,1640953500000,453,16.217,17.254,788760000,1,105903115749.435,233781712.471158,49490612.388828,135590.718873501
qtmusd,1507668300000,1640942760000,1542,14.9,8.998,82,0.85,728267618.870915,472287.690577766,47509245.0418561,130162.315183167
link-usd,1628623260000,1630242960000,18,24.323,25.706,30.524,23.9,45515777.953861,2528654.33077006,45515777.953861,124700.761517427
essusd,1530871260000,1640947560000,1274,0.19,0.00189,0.19,1.984E-05,46034648.6111182,36133.9471044884,45436709.5661591,124484.135797696
snxusd,1601114700000,1640953140000,461,5.0575,5.7412,28.901,2.502,46036679.56982,99862.6454876791,45191797.3477222,123813.143418417
testbtc-testusd,1628623320000,1630243020000,18,45534,48508,50500,43847,42885488.08735,2382527.11596389,42885488.08735,117494.487910548
avax-usd,1628623080000,1630242960000,18,16.427,47.959,58.925,15.5,40072594.5901012,2226255.25500562,40072594.5901012,109787.930383839
ampusd,1561633140000,1640950440000,918,4.8,0.91258,1000,0.2929,166030117.416292,180860.694353259,39657162.7669201,108649.761005261
grtusd,1626868800000,1640944740000,162,0.54,0.6663,1.3349,0.51499,38703823.4328257,238912.490326084,38703823.4328257,106037.872418701
lrcusd,1524792240000,1640946240000,1344,0.78556,2.0675,3.8288,0.015369,41748860.3076654,31063.1401098701,38181109.2199592,104605.77868482
fetusd,1597744860000,1640952480000,500,0.18,0.51722,1.1892,0.0369,65098640.7542214,130197.281508443,37746404.0776144,103414.805692094
bchn-usd,1628623200000,1630242960000,18,588.61,664.94,714.38,588.6,34718760.7990324,1928820.04439069,34718760.7990324,95119.8926000888
antusd,1525869600000,1640945340000,1331,4.35,11.948,14.707,0.07,44267106.4500086,33258.5322689772,28775965.5374801,78838.2617465209
reef-usd,1628623080000,1630243020000,18,0.0199,0.02378,0.0255,0.017312,28524019.2251607,1584667.73473115,28524019.2251607,78147.9978771527
hezusd,1605269160000,1640952720000,413,4.1753,9.1967,10.152,3.0276,28235531.7232187,68366.9048988346,27762495.1598693,76061.6305749845
xsnusd,1611057780000,1640955240000,346,0.61,0.10687,0.67,0.07681,27046410.6749372,78168.8169795874,27046410.6749372,74099.7552738006
iceusd,1619089200000,1640954400000,253,4.55,24.477,64.815,0.90123,25030973.7020521,98936.6549488226,25030973.7020521,68578.0101426085
tsdusd,1545196020000,1640948700000,1108,1.0355,1.0026,1.1627,0.95,29019619.4051658,26190.9922429294,21942768.5747788,60117.1741774761
sanusd,1499871420000,1640940540000,1632,0.3,0.34056,8.17,0.0001,1149710611.2761,704479.541223102,21680055.3291023,59397.4118605544
kncusd,1527073860000,1640946600000,1317,1.48,1.3393,4.3,0.10357,22590549.5835597,17153.036889567,20446644.1968406,56018.2032790154
etpusd,1507567200000,1640941980000,1543,1.2214,0.16335,6.31,0.05,1319569063.98957,855197.060265439,19679440.1601758,53916.2744114406
mobusd,1617354180000,1640955000000,273,42.106,10.193,85.297,7.3405,19220696.7514654,70405.4826061003,19220696.7514654,52659.4431546997
edousd,1508522700000,1640944020000,1532,2.3,0.9437,6.8764,0.0353,396548878.968589,258843.915775841,17557859.97232,48103.7259515618
